bcsstk13,0,0.118063
bcsstk13,1,0.108062
bcsstk13,2,0.468512
bcsstk13,3,0.388040
bcsstk13,4,0.400080
bcsstk13,5,0.562084
bcsstk13,6,0.139223
bcsstk13,7,0.131903
bcsstk13,8,0.304298
bcsstk13,9,0.379299
bcsstk13,10,0.552314
bcsstk13,11,0.578495
bcsstk13,12,1.431106
bcsstk13,13,0.632286
bcsstk13,14,0.284797
bcsstk13,15,0.464462
bcsstk13,16,0.855431
bcsstk13,17,0.413990
bcsstk13,18,0.652376
bcsstk13,19,0.612235
bcsstk13,20,0.704008
bcsstk13,21,0.828801
bcsstk13,22,0.476882
bcsstk13,23,1.257692
bcsstk13,24,0.611465
bcsstk13,25,0.495402
bcsstk13,26,0.666127
bcsstk13,27,1.041636
bcsstk13,28,0.856662
bcsstk13,29,0.765059
bcsstk13,30,0.490493
bcsstk13,31,0.497773
bcsstk13,0,0.096152
bcsstk13,1,0.089842
bcsstk13,2,0.378700
bcsstk13,3,0.318748
bcsstk13,4,0.312408
bcsstk13,5,0.457181
bcsstk13,6,0.100292
bcsstk13,7,0.092552
bcsstk13,8,0.226976
bcsstk13,9,0.288717
bcsstk13,10,0.436811
bcsstk13,11,0.452762
bcsstk13,12,1.238182
bcsstk13,13,1.045297
bcsstk13,14,0.272527
bcsstk13,15,0.311508
bcsstk13,16,0.258557
bcsstk13,17,0.336709
bcsstk13,18,0.473622
bcsstk13,19,0.490572
bcsstk13,20,0.556384
bcsstk13,21,0.550724
bcsstk13,22,0.262227
bcsstk13,23,0.344089
bcsstk13,24,0.433071
bcsstk13,25,0.391300
bcsstk13,26,0.522364
bcsstk13,27,0.611585
bcsstk13,28,1.208470
bcsstk13,29,0.616605
bcsstk13,30,0.394500
bcsstk13,31,0.396860
bcsstk13,0,0.113753
bcsstk13,1,0.105852
bcsstk13,2,1.002912
bcsstk13,3,0.909850
bcsstk13,4,0.381349
bcsstk13,5,0.559323
bcsstk13,6,0.109632
bcsstk13,7,0.103802
bcsstk13,8,0.273116
bcsstk13,9,0.351858
bcsstk13,10,0.523621
bcsstk13,11,0.568223
bcsstk13,12,0.634954
bcsstk13,13,0.628914
bcsstk13,14,0.278596
bcsstk13,15,0.354728
bcsstk13,16,0.322807
bcsstk13,17,0.424930
bcsstk13,18,0.675565
bcsstk13,19,0.686505
bcsstk13,20,0.711726
bcsstk13,21,0.717336
bcsstk13,22,1.390190
bcsstk13,23,0.456870
bcsstk13,24,0.603554
bcsstk13,25,0.479010
bcsstk13,26,0.660245
bcsstk13,27,0.761067
bcsstk13,28,0.771167
bcsstk13,29,0.951951
bcsstk13,30,0.518031
bcsstk13,31,0.517172
bcsstk13,0,0.103762
bcsstk13,1,0.101322
bcsstk13,2,0.377488
bcsstk13,3,0.322087
bcsstk13,4,0.317757
bcsstk13,5,0.466180
bcsstk13,6,0.096502
bcsstk13,7,0.091052
bcsstk13,8,0.223795
bcsstk13,9,0.287037
bcsstk13,10,1.356050
bcsstk13,11,0.975281
bcsstk13,12,0.515111
bcsstk13,13,0.513392
bcsstk13,14,0.240406
bcsstk13,15,0.298857
bcsstk13,16,0.284166
bcsstk13,17,0.366418
bcsstk13,18,0.496631
bcsstk13,19,0.727877
bcsstk13,20,0.558152
bcsstk13,21,0.562933
bcsstk13,22,0.272636
bcsstk13,23,0.347057
bcsstk13,24,0.394348
bcsstk13,25,0.394089
bcsstk13,26,0.783077
bcsstk13,27,1.545835
bcsstk13,28,0.613374
bcsstk13,29,0.880049
bcsstk13,30,0.474980
bcsstk13,31,0.399409
